Donor:	PM2-FKBP-Rluc	
0.3767704	2.3826699	0.0481019
0.6850086	2.447223169	0.08585488
1.048681	2.455797997	0.1047182
0.2465616	2.484456378	0.03786831
0.9542975	2.510002688	0.08235431
0.7895622	2.548879098	0.1023697
1.019467	2.552429142	0.09064126
0.3464781	2.610466636	0.03985831
0.5387764	2.636070341	0.05659495
1.110076	2.778269017	0.09382258
1.002746	2.828996462	0.09287289
0.4595763	2.844701378	0.04189585
0.6826497	2.951235529	0.03086327
0.1335527	2.987510201	0.01906807
1.147497	3.083050753	0.09357797
0.5970727	3.088900351	0.06740778
0.2063975	3.134794929	0.02477852
0.1705902	3.140652038	0.02089284
0.8576685	3.197913245	0.1001647
0.7464021	3.312807801	0.05379592
0.3624064	3.413023128	0.0247488
0.4806219	3.49296787	0.05872523
0.8149568	3.523898269	0.0658944
0.275103	3.617686626	0.02203512
0.7363065	3.834318593	0.0473343
0.3221178	3.924265496	0.03082208
0.1871572	3.95429714	0.01119514
0.2232	4.076602875	0.01383361
0.6609653	4.154970951	0.04830678
0.406574	4.174452769	0.01779113
0.09016418	4.313561686	0.009149805
0.4395722	4.359023382	0.02909104
0.3118959	4.458388707	0.01548126
0.9336224	4.561386949	0.05467159
0.5655743	4.568776294	0.03296397
0.1337168	4.599333817	0.007150977
0.5421095	4.800500674	0.03067861
