Donor:	V2R-Rluc	
1.088487216	1.49231788	0.098865051
0.204863206	1.497998452	0.013835913
1.865149302	1.579819982	0.167525313
1.593816633	1.619596871	0.151199272
0.199783945	1.636020608	0.015088535
0.482244952	1.664794109	0.048109752
1.658996678	1.6655115	0.106722736
0.345769541	1.714273507	0.025135203
0.54177818	1.734085179	0.042528975
0.155960945	1.746568738	0.00251651
1.492542418	1.815307061	0.105840829
0.990915794	1.872222282	0.091295185
1.544500909	1.87877498	0.102945089
1.160158438	1.883508177	0.109035977
0.397950253	1.935093795	0.035710585
0.382875353	1.981918443	0.033391698
1.221160307	2.015693505	0.090648754
1.189568546	2.033656007	0.111433938
0.711803842	2.043207164	0.050309936
0.801946066	2.066669157	0.051565989
0.51381575	2.114174649	0.052635992
0.672389417	2.209989959	0.050993341
0.590979267	2.217447183	0.05054307
0.736860551	2.244837519	0.049193693
0.344333852	2.296086438	0.020078627
1.164393886	2.33925413	0.08610207
0.726602342	2.396660875	0.050768636
0.136904024	2.424377614	0.001837127
0.254913263	2.447486155	0.014960628
1.672690136	2.461130351	0.105893029
0.212556995	2.462617614	0.00873507
1.625769492	2.493646764	0.115099299
0.129561122	2.495718743	0.009879042
0.313948593	2.500105409	0.022351729
0.400773221	2.520782161	0.025203398
0.305948573	2.600789544	0.022074553
0.357816855	2.672170483	0.023214046
0.266354653	2.681338236	0.021705516
1.543665859	2.686733771	0.086058305
0.429651129	2.694750796	0.020042145
0.578362966	2.737512803	0.042497465
0.784626462	2.747722093	0.04327839
0.355506419	2.762903583	0.014402274
0.864380433	2.764355514	0.046082802
0.674712043	2.77075802	0.039547868
0.234392719	2.813930681	0.010876861
0.373630631	2.827079284	0.02633506
0.450547052	2.828030138	0.018913575
0.653130172	2.834635766	0.041583287
0.597782975	2.87100382	0.042550962
0.668878599	2.893466961	0.043781921
0.176405946	2.932213155	0.015222417
		
Donor:	V2R-Rluc	
Acceptor:	b2AdR-Venus	
Fluorescence	Luminescence	BRET ratio
1.283208306	0.420868931	0.071116848
1.26835424	0.434309417	0.067811082
0.213635428	0.457909518	0.014997743
1.229480989	0.490445614	0.079389409
0.719849447	0.519029586	0.027059088
1.873603123	0.533639398	0.073298079
1.410023244	0.726013646	0.048688781
1.373153588	0.765023416	0.052705581
0.606218948	0.864819877	0.027936528
1.163565596	0.879007793	0.057304673
0.193719027	0.909945186	0.005692828
1.699644426	0.911246357	0.052056361
1.54714075	0.917140581	0.049749129
1.09203642	0.950960898	0.044464604
0.949779959	0.979364146	0.029983584
0.290021645	0.987240549	0.012272703
1.232918405	1.019691918	0.058482637
1.782655065	1.023540865	0.062355923
0.4810563	1.032524377	0.030360452
0.336581081	1.039584801	0.009137316
1.410084481	1.051092531	0.049305327
1.006865854	1.059385556	0.047039204
0.430182168	1.086646095	0.02031944
0.362519028	1.158095049	0.010967792
1.520065947	1.163356095	0.048444841
0.473601032	1.204259396	0.017500046
1.463004359	1.206849114	0.0497738
0.843693997	1.215339043	0.039442478
1.342751006	1.219938722	0.050620692
0.285971441	1.222565326	0.0003551
1.401047386	1.239359556	0.058528966
1.666926588	1.246262971	0.053214368
0.893602641	1.247722234	0.028701978
1.000990657	1.293563486	0.027868134
0.786608422	1.30439754	0.037486492
0.997453937	1.309834797	0.039024114
0.914401435	1.374505532	0.032328212
0.564647997	1.397836393	0.019671348
0.245721679	1.407182538	0.004800599
1.554666875	1.411586235	0.039244352
0.550480699	1.4280395	0.018213401
0.987070263	1.485209104	0.047144639
0.459644903	1.493427094	0.02248255
0.373459567	1.499619013	0.015886717
0.347886263	1.520723971	0.011994794
0.968862774	1.532646658	0.016972878
0.549781485	1.590839738	0.021691866
0.966538805	1.595063264	0.032827978
1.927246083	1.599370451	0.048011295
1.093998583	1.623617088	0.032056372
0.565395205	1.664696794	0.019354829
1.034473949	1.840606587	0.03415298
1.119511498	1.850532943	0.028738732
1.092640643	1.864625653	0.024123924
1.756571612	2.052847133	0.037045287
0.606279608	2.073250294	0.014044542
0.397304417	2.075260625	0.012545022
0.425455854	2.085528384	0.01367958
0.606705598	2.105217328	0.023047211
0.61640619	2.127284616	0.019651896
0.621741741	2.270012613	0.017588916
0.342542234	2.392602042	0.009676264
0.301778509	2.441097545	0.008049499
0.1400304	2.454362905	0.000936672
0.724103099	2.49354501	0.015454815
0.756438319	2.546900068	0.016089441
0.414961132	2.636194397	0.007866871
0.577534494	2.659164372	0.004484415
0.361719562	2.708916212	0.00661631
0.189218843	2.713954427	0.002243868
1.021719878	2.83634155	0.011906109
0.483121478	2.855948555	0.004495338
1.307795084	2.892849911	0.017275898
		
Donor:	V2R-Rluc	
Acceptor:	AT1R-Venus	
Fluorescence	Luminescence	BRET ratio
1.296192255	0.553537024	0.054427117
0.696695918	0.568021471	0.043010628
1.18661596	0.581751329	0.055124335
0.836915714	0.70312423	0.046841709
0.974950875	0.718498313	0.059046195
1.237533385	0.721308979	0.050804061
0.96556575	0.74529302	0.046431561
1.218968127	0.753471109	0.047865958
1.218144496	0.757643734	0.043137124
1.204465309	0.761818885	0.054771755
0.684819281	0.798518747	0.028915352
1.01314523	0.843076971	0.046156036
0.828440233	0.856873361	0.045056449
1.407804343	0.881412815	0.052289472
1.039201978	0.916371341	0.046559099
1.27431414	0.924768929	0.049604555
1.052450488	0.943598321	0.045104354
0.528364307	0.958461843	0.026106379
1.034612145	0.969100332	0.052728939
1.45423777	0.969161636	0.038243562
1.474256366	0.970475602	0.052105115
1.097061021	0.972952985	0.041655741
0.622294294	0.973194729	0.03327294
1.374085093	0.97497997	0.048442986
0.95414148	0.978278908	0.042693125
0.74458523	0.998471563	0.034318196
1.201229977	1.004202646	0.05112984
0.766967293	1.014298527	0.03273708
0.425179824	1.050617078	0.01296444
1.624911852	1.076283312	0.04045078
0.244441518	1.087126623	0.004341299
0.917325315	1.106922575	0.038802727
1.062592584	1.108128651	0.032894865
0.970961928	1.197700162	0.034498115
0.512926003	1.198996282	0.021654933
1.026238577	1.199792232	0.035885768
1.31827798	1.201115785	0.040933263
1.386776484	1.22293552	0.037770745
0.400729917	1.228600091	0.018001097
0.498793761	1.229491598	0.011777351
0.256817139	1.235419805	0.01167839
0.685942877	1.274630769	0.024611631
0.932410544	1.287962896	0.044492027
0.739264039	1.295006382	0.032147259
1.546463165	1.300971661	0.038541724
0.752266164	1.316007768	0.034944035
0.418006231	1.331922812	0.01870582
0.574473889	1.33455197	0.030506468
0.281879204	1.33557554	0.011844933
1.248691001	1.338168287	0.034797704
0.669928102	1.340955159	0.024666276
0.699012857	1.35785816	0.022160021
1.212043686	1.358505513	0.035759753
0.849096713	1.360672798	0.035998157
1.352432901	1.400283081	0.045425637
0.287349948	1.414229394	0.01206783
0.405991753	1.454569887	0.013258395
0.280385944	1.460306495	0.009924929
0.169660912	1.46524684	0.007559033
0.2879985	1.479846245	0.013711326
0.284011529	1.50154273	0.011029371
0.315421966	1.505300993	0.006277037
0.907684008	1.526648481	0.027037084
0.419105682	1.54349059	0.013781103
1.254086696	1.615882107	0.034172281
0.216342556	1.627487822	0.006669818
0.497105618	1.730141647	0.016792019
0.561249334	1.793337585	0.020287718
0.175850643	1.800596432	0.005267402
0.51261693	1.80589677	0.016953622
0.621500427	1.819171323	0.018596679
0.536583295	1.856676171	0.026071869
0.600482194	1.85763007	0.015106343
0.513790803	1.865773545	0.021324198
0.292402433	1.916270645	0.005542927
0.578611543	1.934312491	0.014674125
0.291183544	1.969739355	0.008388432
0.609102453	1.980661176	0.01544975
1.324163757	1.981132716	0.032233968
0.314905888	1.981157632	0.00887243
0.170267362	2.000809478	0.006209724
0.209712847	2.10354158	0.008721564
0.331558681	2.122376639	0.008332482
0.269605685	2.139359361	0.012778268
0.572090508	2.14581971	0.020383788
0.362037237	2.197965798	0.010338712
		
Donor:	V2R-Rluc	
Acceptor:	CB1R-Venus	
Fluorescence	Luminescence	BRET ratio
0.40256564	0.577742367	0.035240914
0.403174193	0.608215247	0.043273176
0.883241222	0.660505359	0.048831368
0.778577625	0.691295371	0.046131475
0.641849772	0.730223986	0.034567277
0.828581487	0.768643752	0.036116914
0.821621524	0.7783123	0.034383692
0.537609203	0.78923598	0.034101737
0.725313918	0.793454433	0.040080987
0.706419861	0.798198228	0.028190769
0.59860747	0.798275002	0.038003873
0.409537827	0.802431651	0.02847696
0.453768492	0.806441704	0.017996183
0.648419712	0.822961431	0.038663597
0.758201483	0.835642324	0.045963457
0.580403249	0.837085391	0.032041709
0.373099838	0.842545553	0.023388284
0.430495165	0.85597804	0.023923597
0.735112166	0.875739446	0.036126232
0.62044769	0.889796359	0.027724018
0.211536175	0.891054556	0.011590309
0.51812433	0.891619723	0.030812928
0.681219604	0.905667981	0.04102814
0.604683445	0.925466763	0.02954855
0.465834404	0.928321162	0.02959921
0.608750438	0.955448979	0.033847212
0.733454296	0.976343363	0.029923938
0.398790876	1.006775717	0.019794534
0.388476865	1.05406039	0.004379054
0.521364934	1.059588016	0.024600816
0.327889801	1.08223224	0.018439602
0.300752094	1.083913611	0.022318816
0.319412845	1.096884447	0.013024011
0.325161217	1.104250755	0.016505535
0.07498011	1.125249055	0.0021885
0.166859366	1.203267315	0.005509917
0.109731491	1.218625546	0.009009833
0.666006146	1.232100467	0.020333374
0.157310464	1.250235118	0.008689796
0.171888687	1.255417038	0.012838063
0.646235057	1.256042135	0.034047481
0.144213889	1.271294013	0.007663972
0.838953803	1.271546574	0.037599904
0.192028917	1.272015662	0.009407522
0.068986701	1.312636392	0.004702618
0.706139887	1.313232823	0.025209632
0.037717609	1.383356045	0.006172441
0.10419436	1.385160216	0.006744431
0.210756306	1.433593322	0.002992859
0.422018192	1.477783866	0.015615858
0.111863464	1.47898477	0.003774051
0.402875596	1.491684286	0.010923072
0.242938624	1.557112562	0.011811086
0.243007746	1.68162204	0.025498569
0.547973833	1.745272477	0.024487916
0.498861426	1.78076868	0.009366604
0.119354168	1.79587231	0.003141266
		
Donor:	V2R-Rluc	
Acceptor:	CaSR-Venus	
Fluorescence	Luminescence	BRET ratio
0.352265391	0.285839762	0.009774131
0.245656068	0.378197251	0.005713516
0.157873541	0.440646205	0.002112244
0.632889829	0.468047566	0.014990309
0.617401167	0.527601653	0.011135317
0.42539019	0.805289874	0.00454403
0.481219042	0.938054099	0.005187813
0.229870262	1.236314789	0.003123569
0.125621288	1.324669967	0.002910692
0.526648485	1.400869017	0.009397749
0.533670634	1.488932594	0.010280363
0.254441414	1.550205306	0.001170767
0.25602384	1.701910854	0.004386747
0.367462765	1.983397182	0.005688371
0.302056517	2.112558309	0.004070361
0.394629521	2.160143987	0.004699346
0.207954188	2.202389718	0.00232534
		
Donor:	V2R-Rluc	
Acceptor:	AT2R-Venus	
Fluorescence	Luminescence	BRET ratio
0.684133602	0.363334477	0.016636948
0.95483667	0.487029243	0.012384982
0.457971577	0.53409888	0.015972367
0.91398232	0.581319834	0.015756362
0.599619222	0.73261637	0.013303489
0.680998429	0.739476919	0.01219798
0.742241997	0.811116755	0.006253797
0.500934915	0.962108868	0.006507156
0.668753264	1.064331043	0.012142187
0.535432132	1.095053437	0.010273932
0.534114256	1.163901901	0.009893162
0.753935232	1.255980456	0.008865202
0.357505694	1.259161164	0.007859735
0.292150146	1.268153655	0.004965732
0.343210288	1.278908994	0.008119286
0.692324269	1.326222093	0.008885552
0.417001873	1.3393247	0.00656412
0.434615432	1.381618412	0.004148319
0.448549221	1.400026263	0.006172778
0.439286068	1.522651423	0.007345774
0.283804997	1.6242733	0.001673346
0.048787201	1.679815158	0.001325579
0.4774547	1.695730202	0.006944414
0.324837382	1.904369491	0.004851673
0.317891427	1.925315603	0.00378208
0.213166215	2.092026935	0.000898621
0.089596503	2.127944765	0.000974581
0.191088673	2.188882159	0.000706081
0.183203005	2.196114321	0.001766573
0.373404618	2.335690754	0.016122379
0.196130976	2.578196855	0.000768816
		
Donor:	CaSR-Rluc	
Acceptor:	CaSR-Venus	
Fluorescence	Luminescence	BRET ratio
0.168324954	0.081271681	0.023097474
0.236695935	0.085506192	0.060564569
0.24487378	0.098255268	0.038145867
0.38754411	0.103329224	0.052043168
0.131037995	0.114246476	0.016479523
0.334105792	0.123275427	0.049640258
0.11744991	0.131140058	0.021482499
0.213820774	0.135532526	0.026254441
0.223984677	0.16336405	0.015882402
0.265945323	0.2186157	0.033297695
0.276109226	0.246447224	0.022925656
0.101202771	0.295565983	0.008560051
0.134706512	0.335302523	0.001506485
0.466524357	0.340003159	0.026874571
0.344580306	0.369279559	0.011730561
0.480927476	0.378442677	0.034559527
0.365133398	0.380708705	0.007201817
0.150718841	0.397209097	0.005790064
0.130024544	0.480803014	0.009938494
0.10471108	0.544431852	0.001099391
		
Donor:	CaSR-Rluc	
Acceptor:	AT1R-Venus	
Fluorescence	Luminescence	BRET ratio
0.158219637	0.212344155	0.008719427
0.240240732	0.228501925	0.013278766
0.1680259	0.232014295	0.015815543
0.130081376	0.241171169	0.003029142
0.516023284	0.281989548	0.019795001
0.268826253	0.307612475	0.022049558
0.20773186	0.312241914	0.005825943
0.581867427	0.355015312	0.027659925
0.058523815	0.442938405	0.004176739
0.310664156	0.497206422	0.003361326
		
Donor:	CaSR-Rluc	
Acceptor:	AT2R-Venus	
Fluorescence	Luminescence	BRET ratio
0.519199518	0.17722379	0.007593493
0.560839548	0.194157676	0.019736328
0.084774105	0.239829925	0.007943279
0.051396821	0.271920632	0.00825619
0.088767703	0.300402198	0.003203863
0.414169811	0.309176977	0.014265575
0.369490844	0.319908163	0.007826742
0.069806779	0.404761811	0.004186352
0.117091416	0.431171481	0.008438087
0.184238421	0.453127935	0.004270078
0.211324997	0.482538575	0.003105861
		
Donor:	CaSR-Rluc	
Acceptor:	b2AdR-Venus	
Fluorescence	Luminescence	BRET ratio
0.665576253	0.082623724	0.02700805
0.155505852	0.207064319	0.008615995
0.258804851	0.235992679	0.006646932
0.633602219	0.246344112	0.009143908
0.831516623	0.252019662	0.008036785
0.249343545	0.27213789	0.012853179
0.675461724	0.288500052	0.010212481
0.506641447	0.344162959	0.015905669
0.476723434	0.385725552	0.00027922
0.237995816	0.389620581	0.001154029
0.53331577	0.398401215	0.003150183
0.270209192	0.442301766	0.008232984
		
Donor:	CaSR-Rluc	
Acceptor:	CB1R-Venus	
Fluorescence	Luminescence	BRET ratio
0.669939835	0.197948272	0.028405642
0.569504584	0.200214745	0.039588014
0.372010507	0.231183641	0.019284008
0.477570992	0.249143728	0.014495394
0.342085954	0.260940808	0.002910541
0.430541422	0.3123123	0.026630791
0.319390232	0.386510877	0.008806603
0.583547854	0.432938467	0.023376566
0.305293141	0.460036617	0.00902662
0.181081116	0.473860009	0.000959358
		
Donor:	CaSR-Rluc	
Acceptor:	V2R-Venus	
Fluorescence	Luminescence	BRET ratio
0.032737834	0.21673175	0.009135118
0.052200467	0.224642011	0.001619259
0.08694787	0.227148778	0.004926772
0.294693413	0.237342588	0.011569481
0.422874732	0.252379987	0.025345215
0.446589484	0.254756841	0.019210962
0.185922032	0.273918845	0.016005554
0.115480366	0.356671224	0.004102785
0.228200224	0.360084982	0.007070382
0.422925355	0.36251803	0.02168784
0.124948472	0.374362161	0.000398765
0.511361331	0.39586155	0.012123133
0.236347476	0.453041551	0.015896472
0.2270978	0.536328829	0.021097518
